Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,55.06,55.46,54.19,54.79,54.79,166600.00
2019-06-17 00:00:00,55.13,57.47,55.13,56.99,56.99,379400.00
2019-06-18 00:00:00,57.50,58.12,55.73,55.87,55.87,348000.00
2019-06-19 00:00:00,56.09,57.31,55.85,57.05,57.05,432500.00
2019-06-20 00:00:00,57.75,58.69,57.35,57.90,57.90,439500.00
2019-06-21 00:00:00,57.77,58.11,56.22,56.54,56.54,885900.00
2019-06-24 00:00:00,56.59,57.11,55.19,56.12,56.12,482800.00
2019-06-25 00:00:00,56.13,56.58,55.13,55.69,55.69,450800.00
2019-06-26 00:00:00,56.00,56.55,55.07,55.50,55.50,300800.00
2019-06-27 00:00:00,55.63,57.40,55.63,57.31,57.31,231300.00
2019-06-28 00:00:00,57.53,58.65,57.27,58.09,58.09,1438900.00
2019-07-01 00:00:00,59.06,59.56,58.28,58.80,58.80,454500.00
2019-07-02 00:00:00,58.84,59.33,58.21,58.67,58.67,248100.00
2019-07-03 00:00:00,59.00,59.74,58.69,59.22,59.22,123500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,58.77,59.56,57.94,59.45,59.45,142400.00
2019-07-08 00:00:00,59.31,59.75,58.65,59.75,59.75,225500.00
2019-07-09 00:00:00,59.43,60.54,59.21,60.53,60.53,184800.00
2019-07-10 00:00:00,60.93,61.57,60.42,60.92,60.92,241300.00
2019-07-11 00:00:00,61.25,61.47,60.42,61.22,61.22,228800.00
2019-07-12 00:00:00,61.37,61.76,60.47,60.75,60.75,201400.00
2019-07-15 00:00:00,60.56,60.70,59.63,60.04,60.04,289800.00
2019-07-16 00:00:00,59.89,60.23,58.49,58.73,58.73,244500.00
2019-07-17 00:00:00,58.71,59.51,58.59,58.61,58.61,342400.00
2019-07-18 00:00:00,58.49,58.84,58.13,58.75,58.75,232300.00
2019-07-19 00:00:00,58.88,59.38,57.50,57.51,57.51,147900.00
2019-07-22 00:00:00,57.68,58.64,57.35,57.42,57.42,158600.00
2019-07-23 00:00:00,57.80,57.80,56.15,57.50,57.50,182900.00
2019-07-24 00:00:00,57.32,59.31,57.17,59.21,59.21,140400.00
2019-07-25 00:00:00,59.04,59.88,58.21,59.56,59.56,183800.00
2019-07-26 00:00:00,60.00,61.24,59.72,60.46,60.46,207300.00
2019-07-29 00:00:00,60.47,60.66,57.86,58.26,58.26,237300.00
2019-07-30 00:00:00,58.07,59.39,58.00,58.74,58.74,383500.00
2019-07-31 00:00:00,58.74,58.87,56.88,57.49,57.49,267800.00
2019-08-01 00:00:00,57.53,59.69,57.53,58.20,58.20,184900.00
2019-08-02 00:00:00,57.91,58.08,56.93,57.72,57.72,157000.00
2019-08-05 00:00:00,56.50,56.74,55.12,56.01,56.01,301100.00
2019-08-06 00:00:00,56.51,57.49,55.04,55.21,55.21,370400.00
2019-08-07 00:00:00,59.60,62.75,57.32,62.28,62.28,736900.00
2019-08-08 00:00:00,62.66,63.24,60.64,63.05,63.05,392300.00
2019-08-09 00:00:00,63.04,64.11,62.95,63.04,63.04,299000.00
2019-08-12 00:00:00,62.75,62.98,61.55,61.87,61.87,158400.00
2019-08-13 00:00:00,57.26,58.59,54.27,57.04,57.04,1926700.00
2019-08-14 00:00:00,54.92,55.25,51.18,51.60,51.60,2410400.00
2019-08-15 00:00:00,51.87,52.02,49.36,50.06,50.06,1184400.00
2019-08-16 00:00:00,50.31,50.83,49.70,50.01,50.01,802100.00
2019-08-19 00:00:00,50.58,51.24,49.54,49.58,49.58,599000.00
2019-08-20 00:00:00,49.54,50.00,48.73,49.17,49.17,550700.00
2019-08-21 00:00:00,49.75,50.12,49.20,49.75,49.75,708100.00
2019-08-22 00:00:00,49.95,50.66,49.25,49.94,49.94,505700.00
2019-08-23 00:00:00,49.89,50.80,48.13,48.60,48.60,980900.00
2019-08-26 00:00:00,49.17,49.58,48.16,49.40,49.40,350400.00
2019-08-27 00:00:00,49.92,49.92,48.07,49.33,49.33,507500.00
2019-08-28 00:00:00,48.93,48.93,46.76,46.96,46.96,496700.00
2019-08-29 00:00:00,47.76,48.12,47.14,47.44,47.44,296300.00
2019-08-30 00:00:00,48.18,48.27,46.86,48.11,48.11,429300.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,47.86,48.67,47.33,47.55,47.55,444900.00
2019-09-04 00:00:00,47.83,48.22,46.81,46.94,46.94,372900.00
2019-09-05 00:00:00,47.53,47.59,46.08,46.88,46.88,363800.00
2019-09-06 00:00:00,46.84,46.88,45.53,45.66,45.66,528200.00
2019-09-09 00:00:00,46.00,46.00,42.97,44.18,44.18,554900.00
2019-09-10 00:00:00,43.76,45.62,42.56,45.39,45.39,655500.00
2019-09-11 00:00:00,45.48,45.91,42.90,43.25,43.25,939500.00
2019-09-12 00:00:00,43.29,44.21,43.02,43.50,43.50,516900.00
2019-09-13 00:00:00,43.34,43.76,42.83,43.42,43.42,582800.00
2019-09-16 00:00:00,42.96,44.88,42.30,44.06,44.06,314300.00
2019-09-17 00:00:00,44.04,45.21,43.61,45.19,45.19,517900.00
2019-09-18 00:00:00,45.00,45.30,43.88,45.04,45.04,695900.00
2019-09-19 00:00:00,44.95,45.96,44.46,44.66,44.66,342100.00
2019-09-20 00:00:00,44.88,45.27,44.00,44.98,44.98,529000.00
2019-09-23 00:00:00,44.80,45.41,44.27,45.13,45.13,255300.00
2019-09-24 00:00:00,45.24,45.52,43.80,44.04,44.04,429300.00
2019-09-25 00:00:00,43.87,45.01,43.21,44.69,44.69,279500.00
2019-09-26 00:00:00,44.72,45.02,43.68,44.46,44.46,207100.00
2019-09-27 00:00:00,44.49,44.49,42.57,43.34,43.34,294700.00
2019-09-30 00:00:00,43.37,44.15,42.87,43.83,43.83,425200.00
2019-10-01 00:00:00,44.13,44.52,43.23,43.36,43.36,298100.00
2019-10-02 00:00:00,42.90,42.90,42.04,42.50,42.50,301100.00
2019-10-03 00:00:00,42.53,43.70,41.71,43.70,43.70,264700.00
2019-10-04 00:00:00,44.18,44.81,43.65,44.21,44.21,328700.00
2019-10-07 00:00:00,44.14,44.67,43.56,44.44,44.44,258200.00
2019-10-08 00:00:00,44.10,44.70,43.30,44.04,44.04,219700.00
2019-10-09 00:00:00,44.43,45.35,44.36,45.02,45.02,275000.00
2019-10-10 00:00:00,45.08,45.10,44.19,44.63,44.63,184200.00
2019-10-11 00:00:00,45.15,45.96,44.53,44.92,44.92,369300.00
2019-10-14 00:00:00,44.80,45.16,44.17,44.96,44.96,111200.00
2019-10-15 00:00:00,44.98,45.34,44.60,45.19,45.19,148800.00
