Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,2.40,2.58,2.39,2.53,2.53,2364400.00
2019-06-17 00:00:00,2.57,2.64,2.36,2.42,2.42,2124900.00
2019-06-18 00:00:00,2.42,2.46,2.29,2.35,2.35,1399600.00
2019-06-19 00:00:00,2.33,2.33,2.14,2.16,2.16,1946400.00
2019-06-20 00:00:00,2.15,2.40,2.15,2.32,2.32,2437000.00
2019-06-21 00:00:00,2.40,2.74,2.35,2.73,2.73,6068700.00
2019-06-24 00:00:00,2.66,2.79,2.55,2.64,2.64,2402300.00
2019-06-25 00:00:00,2.73,2.91,2.52,2.85,2.85,3736700.00
2019-06-26 00:00:00,2.95,3.00,2.77,2.92,2.92,4886600.00
2019-06-27 00:00:00,2.82,3.22,2.75,2.84,2.84,5428500.00
2019-06-28 00:00:00,2.85,3.02,2.81,2.94,2.94,3425400.00
2019-07-01 00:00:00,3.00,3.05,2.85,2.97,2.97,1676300.00
2019-07-02 00:00:00,2.94,2.97,2.72,2.75,2.75,1989000.00
2019-07-03 00:00:00,2.75,2.80,2.61,2.80,2.80,1236800.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,2.80,2.84,2.72,2.80,2.80,699600.00
2019-07-08 00:00:00,2.78,2.88,2.73,2.84,2.84,750800.00
2019-07-09 00:00:00,2.79,3.06,2.78,3.00,3.00,3133600.00
2019-07-10 00:00:00,2.99,3.16,2.99,3.15,3.15,2298500.00
2019-07-11 00:00:00,3.20,3.32,3.03,3.32,3.32,3275200.00
2019-07-12 00:00:00,3.33,3.62,3.16,3.49,3.49,4481000.00
2019-07-15 00:00:00,3.42,4.14,3.40,3.89,3.89,7447300.00
2019-07-16 00:00:00,3.82,3.87,3.56,3.69,3.69,3503000.00
2019-07-17 00:00:00,3.70,3.98,3.58,3.67,3.67,2666200.00
2019-07-18 00:00:00,3.69,3.77,3.60,3.67,3.67,1150900.00
2019-07-19 00:00:00,3.72,3.73,3.43,3.45,3.45,2122100.00
2019-07-22 00:00:00,3.46,3.60,3.30,3.55,3.55,1804300.00
2019-07-23 00:00:00,3.55,3.61,3.45,3.55,3.55,1100100.00
2019-07-24 00:00:00,3.62,4.14,3.60,3.99,3.99,6261800.00
2019-07-25 00:00:00,4.07,4.35,3.75,3.95,3.95,6217800.00
2019-07-26 00:00:00,3.91,4.03,3.80,4.01,4.01,1604200.00
2019-07-29 00:00:00,4.05,4.31,4.02,4.21,4.21,2963500.00
2019-07-30 00:00:00,4.28,4.59,4.16,4.52,4.52,4520300.00
2019-07-31 00:00:00,4.65,5.37,4.62,5.19,5.19,13947500.00
2019-08-01 00:00:00,5.04,5.05,3.39,4.06,4.06,11143400.00
2019-08-02 00:00:00,3.21,4.13,3.05,4.01,4.01,11082800.00
2019-08-05 00:00:00,3.79,4.09,3.76,3.99,3.99,4092200.00
2019-08-06 00:00:00,3.51,3.76,2.58,3.17,3.17,12429100.00
2019-08-07 00:00:00,3.09,3.75,2.87,3.52,3.52,5197900.00
2019-08-08 00:00:00,3.35,3.83,3.30,3.47,3.47,4476500.00
2019-08-09 00:00:00,3.44,3.64,3.32,3.38,3.38,1943300.00
2019-08-12 00:00:00,3.25,3.33,3.03,3.19,3.19,2355900.00
2019-08-13 00:00:00,3.15,3.44,3.04,3.31,3.31,2535500.00
2019-08-14 00:00:00,3.38,3.58,3.29,3.37,3.37,1981200.00
2019-08-15 00:00:00,3.26,3.47,3.25,3.41,3.41,1387000.00
2019-08-16 00:00:00,3.41,3.72,3.41,3.63,3.63,3517000.00
2019-08-19 00:00:00,3.70,3.78,3.53,3.65,3.65,2346000.00
2019-08-20 00:00:00,3.65,3.71,3.50,3.64,3.64,1410500.00
2019-08-21 00:00:00,3.80,4.35,3.64,4.16,4.16,9250000.00
2019-08-22 00:00:00,4.16,4.27,3.95,4.13,4.13,2791200.00
2019-08-23 00:00:00,4.09,4.18,3.95,4.09,4.09,1996000.00
2019-08-26 00:00:00,4.07,4.34,3.98,4.26,4.26,2520100.00
2019-08-27 00:00:00,4.28,4.58,4.25,4.49,4.49,3236300.00
2019-08-28 00:00:00,4.45,4.60,4.04,4.24,4.24,3076400.00
2019-08-29 00:00:00,4.34,4.44,4.25,4.26,4.26,1340800.00
2019-08-30 00:00:00,4.32,4.36,4.05,4.21,4.21,1807800.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,4.17,4.21,3.70,4.03,4.03,1897500.00
2019-09-04 00:00:00,3.80,3.83,3.38,3.63,3.63,4256500.00
2019-09-05 00:00:00,3.73,3.82,3.62,3.70,3.70,1475900.00
2019-09-06 00:00:00,3.71,3.77,3.34,3.39,3.39,2705600.00
2019-09-09 00:00:00,3.20,3.39,3.01,3.10,3.10,3424300.00
2019-09-10 00:00:00,3.14,3.24,3.02,3.16,3.16,1356100.00
2019-09-11 00:00:00,3.18,3.20,3.02,3.06,3.06,2217000.00
2019-09-12 00:00:00,3.04,3.09,2.90,2.97,2.97,2034800.00
2019-09-13 00:00:00,2.90,3.22,2.71,3.12,3.12,3517700.00
2019-09-16 00:00:00,3.14,3.40,3.10,3.36,3.36,2442200.00
2019-09-17 00:00:00,3.46,3.47,3.13,3.33,3.33,1618500.00
2019-09-18 00:00:00,3.29,3.30,3.07,3.14,3.14,1209300.00
2019-09-19 00:00:00,3.15,3.20,3.02,3.06,3.06,1193700.00
2019-09-20 00:00:00,3.06,3.25,3.02,3.25,3.25,1256700.00
2019-09-23 00:00:00,3.22,3.50,3.16,3.39,3.39,2048100.00
2019-09-24 00:00:00,3.41,3.43,3.13,3.22,3.22,1098100.00
2019-09-25 00:00:00,3.25,3.39,3.25,3.35,3.35,1228900.00
2019-09-26 00:00:00,3.34,3.45,3.28,3.37,3.37,1057800.00
2019-09-27 00:00:00,3.35,3.57,3.35,3.54,3.54,3696300.00
2019-09-30 00:00:00,3.51,3.56,3.37,3.50,3.50,1076200.00
2019-10-01 00:00:00,3.50,3.74,3.42,3.48,3.48,1433200.00
2019-10-02 00:00:00,3.44,3.54,3.22,3.45,3.45,1154500.00
2019-10-03 00:00:00,3.36,3.50,3.30,3.45,3.45,784600.00
2019-10-04 00:00:00,3.44,3.50,3.38,3.47,3.47,637500.00
2019-10-07 00:00:00,3.44,3.52,3.12,3.48,3.48,1191200.00
2019-10-08 00:00:00,3.69,3.77,3.52,3.55,3.55,2990700.00
2019-10-09 00:00:00,3.61,3.72,3.58,3.65,3.65,1040800.00
2019-10-10 00:00:00,3.65,3.73,3.60,3.69,3.69,913800.00
2019-10-11 00:00:00,3.68,3.73,3.57,3.70,3.70,799300.00
2019-10-14 00:00:00,3.72,3.72,3.53,3.65,3.65,815000.00
2019-10-15 00:00:00,3.59,3.63,3.41,3.48,3.48,1001400.00
2019-10-16 00:00:00,3.48,3.77,3.43,3.61,3.61,1344200.00
2019-10-17 00:00:00,3.69,3.70,3.55,3.63,3.63,879700.00
2019-10-18 00:00:00,3.62,3.71,3.45,3.47,3.47,1096000.00
2019-10-21 00:00:00,3.49,3.56,3.36,3.47,3.47,701700.00
2019-10-22 00:00:00,3.49,3.50,3.26,3.29,3.29,1187900.00
2019-10-23 00:00:00,3.29,3.39,3.20,3.33,3.33,973200.00
2019-10-24 00:00:00,3.42,3.43,3.25,3.38,3.38,1003500.00
2019-10-25 00:00:00,3.35,3.38,3.20,3.20,3.20,1034200.00
2019-10-28 00:00:00,3.25,3.28,2.96,3.04,3.04,2075600.00
2019-10-29 00:00:00,3.00,3.05,2.80,2.93,2.93,1664300.00
2019-10-30 00:00:00,3.00,3.05,2.80,2.82,2.82,1469500.00
2019-10-31 00:00:00,2.89,2.89,2.31,2.53,2.53,2576800.00
2019-11-01 00:00:00,2.60,2.79,2.53,2.74,2.74,1025800.00
2019-11-04 00:00:00,2.75,2.81,2.52,2.77,2.77,1439900.00
2019-11-05 00:00:00,2.72,2.72,2.47,2.51,2.51,1408900.00
2019-11-06 00:00:00,2.54,2.58,2.33,2.46,2.46,1581300.00
2019-11-07 00:00:00,2.45,3.28,2.14,3.13,3.13,7972600.00
2019-11-08 00:00:00,3.14,3.30,2.85,3.09,3.09,6110500.00
2019-11-11 00:00:00,2.99,3.09,2.80,2.88,2.88,1996800.00
2019-11-12 00:00:00,2.85,2.90,2.62,2.73,2.73,1771300.00
2019-11-13 00:00:00,2.65,2.68,2.53,2.60,2.60,1369400.00
2019-11-14 00:00:00,2.62,3.02,2.51,2.98,2.98,1979900.00
2019-11-15 00:00:00,2.94,3.00,2.70,2.74,2.74,2173100.00
2019-11-18 00:00:00,2.71,2.83,2.58,2.59,2.59,1412400.00
2019-11-19 00:00:00,2.60,2.66,2.53,2.58,2.58,1003800.00
2019-11-20 00:00:00,2.55,2.59,2.50,2.51,2.51,751700.00
2019-11-21 00:00:00,2.52,2.68,2.48,2.65,2.65,1148500.00
2019-11-22 00:00:00,2.87,2.96,2.66,2.74,2.74,3124400.00
2019-11-25 00:00:00,2.75,2.76,2.44,2.58,2.58,1493000.00
2019-11-26 00:00:00,2.56,2.69,2.55,2.68,2.68,758000.00
2019-11-27 00:00:00,2.68,2.78,2.52,2.74,2.74,1223700.00
2019-11-28 00:00:00,,,,,,
2019-11-29 00:00:00,2.64,2.78,2.55,2.75,2.75,744500.00
2019-12-02 00:00:00,2.65,2.90,2.62,2.86,2.86,1332800.00
2019-12-03 00:00:00,2.85,2.85,2.68,2.77,2.77,941800.00
2019-12-04 00:00:00,2.80,2.84,2.73,2.80,2.80,1271200.00
2019-12-05 00:00:00,2.85,3.17,2.78,3.02,3.02,5087000.00
2019-12-06 00:00:00,3.09,3.17,2.87,2.88,2.88,2324400.00
2019-12-09 00:00:00,2.90,2.92,2.76,2.91,2.91,1349200.00
2019-12-10 00:00:00,2.91,2.92,2.80,2.89,2.89,793700.00
2019-12-11 00:00:00,2.88,2.96,2.83,2.86,2.86,865700.00
2019-12-12 00:00:00,2.87,2.91,2.72,2.81,2.81,1213900.00
2019-12-13 00:00:00,2.81,2.89,2.76,2.83,2.83,756300.00
2019-12-16 00:00:00,2.89,2.94,2.81,2.88,2.88,743200.00
2019-12-17 00:00:00,2.87,3.29,2.85,3.10,3.10,3101500.00
2019-12-18 00:00:00,3.13,3.40,3.12,3.24,3.24,2703500.00
2019-12-19 00:00:00,3.32,3.38,3.20,3.25,3.25,1100100.00
2019-12-20 00:00:00,3.26,3.37,3.20,3.37,3.37,1451300.00
2019-12-23 00:00:00,3.34,3.55,3.26,3.52,3.52,1526400.00
2019-12-24 00:00:00,3.50,3.50,3.36,3.46,3.46,686600.00
2019-12-25 00:00:00,,,,,,
2019-12-26 00:00:00,3.48,3.54,3.40,3.46,3.46,914500.00
2019-12-27 00:00:00,3.47,3.47,3.13,3.22,3.22,1664200.00
