Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,26.96,27.12,26.80,27.04,22.64,5665900.00
2019-06-18 00:00:00,27.20,27.32,27.06,27.26,22.82,8083200.00
2019-06-19 00:00:00,27.26,27.38,26.77,26.95,22.56,8215800.00
2019-06-20 00:00:00,27.36,27.70,26.97,27.33,22.88,7851700.00
2019-06-21 00:00:00,27.49,27.72,27.34,27.70,23.19,9916500.00
2019-06-24 00:00:00,27.67,27.91,27.06,27.15,22.73,6609100.00
2019-06-25 00:00:00,27.15,27.22,26.73,26.79,22.43,6368600.00
2019-06-26 00:00:00,27.22,27.83,27.11,27.50,23.02,8269300.00
2019-06-27 00:00:00,27.49,27.70,27.41,27.54,23.06,6886300.00
2019-06-28 00:00:00,27.57,28.07,27.49,28.04,23.47,8299800.00
2019-07-01 00:00:00,28.34,28.42,28.00,28.06,23.49,5511900.00
2019-07-02 00:00:00,28.06,28.31,28.00,28.20,23.61,6771300.00
2019-07-03 00:00:00,28.34,28.40,28.17,28.39,23.77,3105300.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,28.30,28.37,28.02,28.35,23.73,3503400.00
2019-07-08 00:00:00,28.33,28.58,28.24,28.44,23.81,4869100.00
2019-07-09 00:00:00,28.32,28.88,28.25,28.74,24.06,5811500.00
2019-07-10 00:00:00,28.88,29.06,28.76,28.82,24.13,6074800.00
2019-07-11 00:00:00,28.88,28.94,28.63,28.71,24.04,4450600.00
2019-07-12 00:00:00,28.78,28.99,28.70,28.85,24.15,3864300.00
2019-07-15 00:00:00,28.85,28.85,28.61,28.80,24.11,5132700.00
2019-07-16 00:00:00,28.45,28.45,28.00,28.20,23.61,9328600.00
2019-07-17 00:00:00,28.20,28.33,27.72,27.72,23.21,6688900.00
2019-07-18 00:00:00,27.64,27.66,27.36,27.56,23.07,6281300.00
2019-07-19 00:00:00,27.61,27.66,27.41,27.57,23.08,5383300.00
2019-07-22 00:00:00,27.63,27.72,27.39,27.62,23.12,4301400.00
2019-07-23 00:00:00,27.63,27.80,27.29,27.31,22.86,5686600.00
2019-07-24 00:00:00,27.21,27.28,26.86,26.90,22.52,7909300.00
2019-07-25 00:00:00,27.01,27.04,26.22,26.32,22.03,9290500.00
2019-07-26 00:00:00,26.14,26.25,25.09,25.13,21.04,20259900.00
2019-07-29 00:00:00,25.09,25.21,24.71,24.79,20.75,10763500.00
2019-07-30 00:00:00,24.68,25.15,24.66,25.02,20.95,8156400.00
2019-07-31 00:00:00,25.00,25.19,24.42,24.64,20.63,18840700.00
2019-08-01 00:00:00,25.92,26.28,25.51,25.52,21.36,14781800.00
