Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,31.45,31.48,30.83,31.06,30.54,196700.00
2019-06-18 00:00:00,31.35,31.81,31.32,31.36,30.84,162200.00
2019-06-19 00:00:00,31.38,31.38,31.07,31.31,30.79,158600.00
2019-06-20 00:00:00,31.56,31.83,31.03,31.82,31.29,125300.00
2019-06-21 00:00:00,31.64,31.87,31.17,31.20,30.68,436300.00
2019-06-24 00:00:00,31.38,31.85,31.27,31.76,31.23,146400.00
2019-06-25 00:00:00,31.85,31.99,31.53,31.93,31.40,167800.00
2019-06-26 00:00:00,32.00,32.19,31.82,31.99,31.46,216400.00
2019-06-27 00:00:00,32.10,32.60,31.98,32.27,31.73,207200.00
2019-06-28 00:00:00,32.43,32.91,32.09,32.79,32.24,413400.00
2019-07-01 00:00:00,33.00,33.25,32.47,32.53,31.99,246500.00
2019-07-02 00:00:00,32.55,32.79,32.19,32.75,32.20,257400.00
2019-07-03 00:00:00,32.86,33.40,32.80,33.32,32.77,83500.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,33.15,33.26,32.77,33.00,32.45,136200.00
2019-07-08 00:00:00,32.94,33.11,32.60,32.64,32.10,391900.00
2019-07-09 00:00:00,32.54,32.54,32.18,32.47,31.93,133200.00
2019-07-10 00:00:00,32.67,32.77,32.09,32.44,31.90,136300.00
2019-07-11 00:00:00,32.48,32.52,32.11,32.31,31.77,80400.00
2019-07-12 00:00:00,32.38,32.93,32.22,32.78,32.23,209800.00
2019-07-15 00:00:00,32.93,32.93,32.38,32.54,32.00,107400.00
2019-07-16 00:00:00,32.60,33.31,32.60,32.99,32.44,150700.00
2019-07-17 00:00:00,32.98,33.09,32.50,32.58,32.04,220600.00
2019-07-18 00:00:00,32.53,32.72,32.16,32.33,31.79,390000.00
2019-07-19 00:00:00,32.35,32.63,32.19,32.32,31.78,250800.00
2019-07-22 00:00:00,32.35,32.56,31.80,32.12,31.59,439400.00
2019-07-23 00:00:00,32.35,32.56,32.14,32.56,32.02,205200.00
2019-07-24 00:00:00,32.54,33.60,32.44,33.43,32.87,394700.00
2019-07-25 00:00:00,33.36,33.81,33.31,33.51,32.95,241400.00
2019-07-26 00:00:00,33.65,33.78,33.24,33.53,32.97,164300.00
2019-07-29 00:00:00,33.50,33.53,32.80,32.92,32.37,137600.00
2019-07-30 00:00:00,32.56,33.44,32.56,33.25,32.70,218000.00
2019-07-31 00:00:00,33.46,33.80,32.78,32.93,32.38,276800.00
2019-08-01 00:00:00,31.87,35.29,29.01,33.75,33.19,545100.00
2019-08-02 00:00:00,33.65,33.74,32.97,33.52,32.96,340400.00
