Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,41.52,41.70,41.07,41.24,38.85,1005900.00
2019-06-18 00:00:00,41.51,41.66,41.04,41.21,38.82,713000.00
2019-06-19 00:00:00,41.02,41.75,40.98,41.58,39.17,494500.00
2019-06-20 00:00:00,41.69,41.79,41.18,41.65,39.23,622600.00
2019-06-21 00:00:00,41.53,42.01,41.38,41.95,39.51,1642600.00
2019-06-24 00:00:00,41.99,42.10,41.73,41.87,39.44,787900.00
2019-06-25 00:00:00,41.88,42.14,41.22,41.37,38.97,907200.00
2019-06-26 00:00:00,41.35,41.39,40.42,40.45,38.10,1153200.00
2019-06-27 00:00:00,40.55,40.71,40.25,40.40,38.05,851300.00
2019-06-28 00:00:00,40.46,41.37,40.42,41.37,38.97,2009600.00
2019-07-01 00:00:00,41.24,41.32,40.46,40.86,38.49,911600.00
2019-07-02 00:00:00,40.92,41.37,40.92,41.33,38.93,883000.00
2019-07-03 00:00:00,41.50,41.78,41.38,41.66,39.24,541100.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,41.32,41.61,40.66,41.61,39.19,528400.00
2019-07-08 00:00:00,41.59,41.63,41.27,41.53,39.12,646700.00
2019-07-09 00:00:00,41.47,41.60,41.30,41.59,39.18,512100.00
2019-07-10 00:00:00,41.66,41.84,41.44,41.65,39.23,677200.00
2019-07-11 00:00:00,41.53,41.70,40.84,41.19,38.80,636400.00
2019-07-12 00:00:00,41.30,41.30,40.49,41.00,38.62,1266500.00
2019-07-15 00:00:00,41.41,41.45,40.95,41.40,39.00,1297200.00
2019-07-16 00:00:00,41.17,41.47,40.92,41.23,38.84,681600.00
2019-07-17 00:00:00,41.80,41.93,41.41,41.58,39.17,1396700.00
2019-07-18 00:00:00,41.51,41.98,41.29,41.95,39.51,1021700.00
2019-07-19 00:00:00,41.81,42.04,40.99,41.00,38.62,923400.00
2019-07-22 00:00:00,41.19,41.29,40.79,41.12,38.73,718200.00
2019-07-23 00:00:00,41.01,41.17,40.72,40.97,38.59,724700.00
2019-07-24 00:00:00,41.12,41.12,40.41,40.84,38.47,624500.00
2019-07-25 00:00:00,40.96,41.19,40.85,40.98,38.60,841800.00
2019-07-26 00:00:00,40.96,41.54,40.83,41.52,39.11,738800.00
2019-07-29 00:00:00,41.71,41.81,41.37,41.71,39.29,762300.00
2019-07-30 00:00:00,41.68,41.99,41.51,41.83,39.40,1081600.00
2019-07-31 00:00:00,41.84,42.32,41.64,41.95,39.51,2493800.00
2019-08-01 00:00:00,41.87,42.25,41.69,41.88,39.45,1186600.00
