Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,89.60,89.60,88.26,88.28,86.09,68900.00
2019-06-17 00:00:00,88.52,88.79,87.53,87.71,85.54,111200.00
2019-06-18 00:00:00,88.57,90.28,88.57,89.07,86.86,123300.00
2019-06-19 00:00:00,89.28,89.83,88.43,89.80,87.58,105200.00
2019-06-20 00:00:00,91.02,91.15,89.43,90.90,88.65,188100.00
2019-06-21 00:00:00,90.48,91.55,90.48,90.94,88.69,237100.00
2019-06-24 00:00:00,91.37,92.27,90.89,91.52,89.25,118600.00
2019-06-25 00:00:00,91.58,92.47,90.82,91.27,89.01,204400.00
2019-06-26 00:00:00,91.57,92.78,90.89,92.20,89.92,179700.00
2019-06-27 00:00:00,92.52,92.96,91.50,92.59,90.30,116100.00
2019-06-28 00:00:00,92.67,94.11,92.45,93.18,90.87,312900.00
2019-07-01 00:00:00,94.01,94.81,92.56,93.26,90.95,200800.00
2019-07-02 00:00:00,92.29,92.94,90.24,91.97,89.69,185100.00
2019-07-03 00:00:00,92.21,92.56,91.17,92.56,90.27,73900.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,91.98,92.45,90.41,91.61,89.34,158300.00
2019-07-08 00:00:00,91.45,91.66,91.01,91.42,89.16,363000.00
2019-07-09 00:00:00,90.89,91.69,90.85,91.50,89.23,154100.00
2019-07-10 00:00:00,92.21,92.56,90.87,91.36,89.10,110200.00
2019-07-11 00:00:00,91.52,92.22,89.79,90.00,87.77,122400.00
2019-07-12 00:00:00,90.42,92.56,90.42,92.20,89.92,106900.00
2019-07-15 00:00:00,92.23,92.96,90.88,91.48,89.21,79700.00
2019-07-16 00:00:00,91.27,92.72,91.27,92.57,90.28,118400.00
2019-07-17 00:00:00,92.46,92.79,90.97,91.08,88.82,117300.00
2019-07-18 00:00:00,90.95,91.99,90.58,90.94,88.69,83700.00
2019-07-19 00:00:00,90.96,91.55,90.61,90.81,88.56,135700.00
2019-07-22 00:00:00,90.95,91.61,90.29,90.83,88.58,68400.00
2019-07-23 00:00:00,91.32,92.57,90.68,92.57,90.28,105600.00
2019-07-24 00:00:00,92.19,93.46,91.71,93.45,91.14,132200.00
2019-07-25 00:00:00,93.64,93.64,92.21,92.58,90.29,161100.00
2019-07-26 00:00:00,92.76,93.74,92.17,93.42,91.11,98500.00
2019-07-29 00:00:00,93.10,93.56,92.16,92.64,90.35,214500.00
2019-07-30 00:00:00,91.69,93.92,91.42,93.58,91.26,121100.00
2019-07-31 00:00:00,93.74,94.93,92.30,92.83,90.53,204800.00
2019-08-01 00:00:00,91.78,94.70,91.54,92.19,89.91,141400.00
2019-08-02 00:00:00,92.32,94.35,91.98,94.00,91.67,188700.00
2019-08-05 00:00:00,92.01,92.85,90.84,91.59,89.32,195900.00
2019-08-06 00:00:00,91.98,93.20,91.68,92.60,90.31,93100.00
2019-08-07 00:00:00,91.35,92.79,90.43,92.23,89.95,129300.00
2019-08-08 00:00:00,92.82,94.74,92.68,94.64,92.30,102000.00
2019-08-09 00:00:00,94.30,94.30,93.04,93.58,91.26,138500.00
2019-08-12 00:00:00,93.30,93.37,92.24,92.35,90.06,59100.00
2019-08-13 00:00:00,92.24,94.60,92.24,93.45,91.14,92800.00
2019-08-14 00:00:00,91.99,92.39,90.25,90.49,88.25,110800.00
2019-08-15 00:00:00,90.54,91.72,90.04,91.12,88.86,108000.00
2019-08-16 00:00:00,91.69,93.48,91.69,93.40,91.09,116400.00
2019-08-19 00:00:00,94.56,94.60,93.07,93.10,90.79,189000.00
2019-08-20 00:00:00,93.22,93.33,91.94,92.13,89.85,102000.00
2019-08-21 00:00:00,93.20,93.20,91.86,92.02,89.74,109000.00
2019-08-22 00:00:00,92.53,92.86,91.31,91.81,89.54,111400.00
2019-08-23 00:00:00,91.40,92.08,88.49,88.76,86.56,143400.00
2019-08-26 00:00:00,89.76,89.98,88.72,89.92,87.69,87600.00
