Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,20.05,20.10,19.86,20.06,18.17,3881700.00
2019-06-18 00:00:00,19.62,19.77,19.20,19.57,17.73,14846400.00
2019-06-19 00:00:00,19.60,19.77,19.45,19.71,17.85,5673800.00
2019-06-20 00:00:00,19.87,19.94,19.66,19.89,18.02,7140200.00
2019-06-21 00:00:00,19.79,20.18,19.75,20.09,18.20,13443300.00
2019-06-24 00:00:00,20.14,20.18,19.89,19.94,18.06,4866400.00
2019-06-25 00:00:00,20.00,20.15,19.93,19.94,18.06,4251200.00
2019-06-26 00:00:00,20.00,20.05,19.60,19.60,17.75,6497300.00
2019-06-27 00:00:00,19.72,19.78,19.60,19.68,17.83,3138200.00
2019-06-28 00:00:00,19.77,19.89,19.71,19.89,18.02,5450600.00
2019-07-01 00:00:00,20.06,20.15,19.81,19.98,18.10,4883500.00
2019-07-02 00:00:00,19.99,20.17,19.91,20.16,18.26,3749200.00
2019-07-03 00:00:00,20.20,20.30,20.10,20.25,18.34,3773300.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,20.19,20.37,20.15,20.35,18.43,3144200.00
2019-07-08 00:00:00,20.33,20.49,20.26,20.35,18.43,3977700.00
2019-07-09 00:00:00,20.35,20.66,20.23,20.65,18.70,4781700.00
2019-07-10 00:00:00,20.75,20.89,20.45,20.55,18.61,6151900.00
2019-07-11 00:00:00,20.59,20.65,20.34,20.41,18.49,4329500.00
2019-07-12 00:00:00,20.45,20.51,20.39,20.50,18.57,2950300.00
2019-07-15 00:00:00,20.51,20.79,20.51,20.77,18.81,2860000.00
2019-07-16 00:00:00,20.75,20.75,20.48,20.53,18.60,4715500.00
2019-07-17 00:00:00,20.50,20.56,20.38,20.39,18.47,2942100.00
2019-07-18 00:00:00,20.35,20.56,20.30,20.51,18.58,2369700.00
2019-07-19 00:00:00,20.61,20.62,20.38,20.40,18.48,2602000.00
2019-07-22 00:00:00,20.46,20.53,20.33,20.40,18.48,2472700.00
2019-07-23 00:00:00,20.46,20.69,20.37,20.66,18.71,4536200.00
2019-07-24 00:00:00,20.64,20.92,20.59,20.88,18.91,4014500.00
2019-07-25 00:00:00,20.85,20.94,20.76,20.84,18.88,3238800.00
2019-07-26 00:00:00,20.87,21.11,20.87,21.07,19.09,4207500.00
2019-07-29 00:00:00,21.03,21.21,21.03,21.14,19.15,3840400.00
2019-07-30 00:00:00,21.01,21.01,20.79,20.90,18.93,5234200.00
2019-07-31 00:00:00,20.92,21.19,20.79,21.00,19.02,6496400.00
2019-08-01 00:00:00,20.99,21.25,20.88,21.09,19.10,8911200.00
