Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,81.08,81.14,80.47,80.54,78.00,534100.00
2019-06-18 00:00:00,81.33,82.51,81.06,81.19,78.63,1012000.00
2019-06-19 00:00:00,81.46,82.31,81.35,81.53,78.96,871900.00
2019-06-20 00:00:00,82.68,83.33,81.62,83.30,80.68,1048500.00
2019-06-21 00:00:00,83.24,83.27,81.71,81.76,79.18,1431400.00
2019-06-24 00:00:00,81.93,82.77,81.68,82.10,79.51,708500.00
2019-06-25 00:00:00,82.08,82.27,81.52,81.56,78.99,844000.00
2019-06-26 00:00:00,81.61,82.00,80.92,81.32,78.76,536500.00
2019-06-27 00:00:00,81.63,82.28,81.40,81.86,79.28,396100.00
2019-06-28 00:00:00,81.96,83.81,81.96,83.64,81.01,2211800.00
2019-07-01 00:00:00,84.63,85.39,83.79,84.41,81.75,769400.00
2019-07-02 00:00:00,84.46,84.56,82.64,83.17,80.55,1011900.00
2019-07-03 00:00:00,83.50,83.50,82.60,83.33,80.70,420700.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,83.09,83.13,81.66,82.84,80.23,654900.00
2019-07-08 00:00:00,82.62,83.00,81.64,81.70,79.13,1347600.00
2019-07-09 00:00:00,81.25,81.25,80.45,80.98,78.43,1005700.00
2019-07-10 00:00:00,81.14,81.68,80.18,80.39,77.86,642600.00
2019-07-11 00:00:00,80.36,81.18,80.30,81.15,78.59,602800.00
2019-07-12 00:00:00,81.26,82.50,81.19,82.50,79.90,800500.00
2019-07-15 00:00:00,82.56,82.91,81.72,81.91,79.33,485800.00
2019-07-16 00:00:00,81.73,82.94,81.73,82.62,80.02,646500.00
2019-07-17 00:00:00,82.61,82.81,81.23,81.30,78.74,531600.00
2019-07-18 00:00:00,81.17,81.46,80.10,80.46,77.93,686800.00
2019-07-19 00:00:00,80.93,81.41,80.45,80.87,78.32,730200.00
2019-07-22 00:00:00,80.87,81.00,80.22,80.33,77.80,731000.00
2019-07-23 00:00:00,80.66,81.85,80.20,81.78,79.20,666800.00
2019-07-24 00:00:00,81.36,82.52,81.05,82.34,79.75,647200.00
2019-07-25 00:00:00,82.89,84.21,81.46,81.67,79.10,720300.00
2019-07-26 00:00:00,81.65,82.00,81.08,81.48,78.91,569700.00
2019-07-29 00:00:00,81.44,81.52,80.76,80.89,78.34,590900.00
2019-07-30 00:00:00,80.22,81.41,80.05,81.12,78.56,579700.00
2019-07-31 00:00:00,80.97,81.77,79.61,80.29,77.76,838900.00
2019-08-01 00:00:00,79.57,81.10,77.94,78.81,76.33,2006600.00
