Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,38.60,38.73,37.85,37.95,37.95,1124400.00
2019-06-17 00:00:00,38.50,38.60,38.14,38.36,38.36,639600.00
2019-06-18 00:00:00,38.59,38.99,38.57,38.77,38.77,1213100.00
2019-06-19 00:00:00,38.94,39.00,38.50,38.99,38.99,695200.00
2019-06-20 00:00:00,39.53,39.97,39.21,39.42,39.42,1835200.00
2019-06-21 00:00:00,39.00,39.32,38.81,39.02,39.02,1482300.00
2019-06-24 00:00:00,39.26,39.28,38.85,39.09,39.09,939400.00
2019-06-25 00:00:00,39.15,39.15,37.43,37.59,37.59,1600100.00
2019-06-26 00:00:00,37.95,38.44,37.59,37.67,37.67,2019700.00
2019-06-27 00:00:00,37.93,39.12,37.61,38.84,38.84,2917200.00
2019-06-28 00:00:00,38.73,38.73,37.71,38.00,38.00,2511500.00
2019-07-01 00:00:00,38.65,39.74,38.65,39.23,39.23,2136700.00
2019-07-02 00:00:00,39.00,40.03,38.80,39.69,39.69,2485000.00
2019-07-03 00:00:00,39.47,39.58,39.02,39.33,39.33,878000.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,39.06,39.24,38.51,39.20,39.20,2037100.00
2019-07-08 00:00:00,39.02,39.09,38.45,38.72,38.72,969300.00
2019-07-09 00:00:00,38.30,39.49,38.19,39.45,39.45,2220600.00
2019-07-10 00:00:00,39.63,39.92,39.46,39.82,39.82,1190500.00
2019-07-11 00:00:00,39.77,40.00,39.47,39.97,39.97,929200.00
2019-07-12 00:00:00,40.24,41.02,40.17,40.33,40.33,2157500.00
2019-07-15 00:00:00,40.64,40.92,40.44,40.48,40.48,2332800.00
2019-07-16 00:00:00,40.60,40.67,40.00,40.27,40.27,1059300.00
2019-07-17 00:00:00,40.28,40.50,39.52,39.57,39.57,923500.00
2019-07-18 00:00:00,39.56,39.78,39.31,39.61,39.61,1175000.00
2019-07-19 00:00:00,39.95,40.53,38.94,39.00,39.00,2112900.00
2019-07-22 00:00:00,39.56,39.85,39.17,39.59,39.59,1764600.00
2019-07-23 00:00:00,39.55,39.69,39.13,39.63,39.63,983300.00
2019-07-24 00:00:00,39.62,40.10,39.32,39.99,39.99,1660800.00
2019-07-25 00:00:00,39.90,39.90,38.26,38.41,38.41,4067000.00
2019-07-26 00:00:00,40.31,42.37,35.84,37.04,37.04,14368400.00
2019-07-29 00:00:00,38.74,39.35,37.60,39.34,39.34,6672500.00
2019-07-30 00:00:00,39.70,39.70,38.53,38.87,38.87,3927900.00
2019-07-31 00:00:00,39.00,39.47,38.60,39.22,39.22,2660300.00
2019-08-01 00:00:00,38.97,40.08,38.16,38.25,38.25,3294700.00
2019-08-02 00:00:00,38.29,38.33,37.26,37.54,37.54,2183900.00
2019-08-05 00:00:00,37.00,37.12,36.13,36.34,36.34,2776700.00
2019-08-06 00:00:00,37.03,37.42,36.65,37.10,37.10,1511000.00
2019-08-07 00:00:00,36.67,37.31,36.48,36.54,36.54,2235100.00
2019-08-08 00:00:00,37.15,37.40,36.84,37.36,37.36,1298500.00
2019-08-09 00:00:00,37.00,37.18,36.67,36.96,36.96,1327500.00
