Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,,,,,,
2019-06-17 00:00:00,87.00,89.10,86.54,87.25,87.25,1173100.00
2019-06-18 00:00:00,88.68,89.78,87.66,87.70,87.70,1158700.00
2019-06-19 00:00:00,88.42,89.95,86.93,89.80,89.80,1572300.00
2019-06-20 00:00:00,91.42,93.18,91.17,92.66,92.66,1853200.00
2019-06-21 00:00:00,92.47,92.90,91.42,92.55,92.55,1608800.00
2019-06-24 00:00:00,91.98,92.67,90.17,91.30,91.30,1527300.00
2019-06-25 00:00:00,91.35,91.57,87.22,87.81,87.81,1492700.00
2019-06-26 00:00:00,88.44,89.09,85.85,86.33,86.33,1423300.00
2019-06-27 00:00:00,86.72,88.55,85.67,88.28,88.28,1426300.00
2019-06-28 00:00:00,88.28,89.15,86.52,89.03,89.03,1298700.00
2019-07-01 00:00:00,91.23,91.84,89.66,90.62,90.62,1127700.00
2019-07-02 00:00:00,90.94,91.65,90.19,90.90,90.90,956600.00
2019-07-03 00:00:00,90.95,92.55,90.91,91.80,91.80,986400.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,91.21,91.96,89.07,91.94,91.94,820200.00
2019-07-08 00:00:00,91.40,92.01,90.94,91.62,91.62,1390600.00
2019-07-09 00:00:00,91.04,93.42,90.77,93.15,93.15,1781200.00
2019-07-10 00:00:00,93.50,94.76,93.18,93.69,93.69,805800.00
2019-07-11 00:00:00,93.97,94.89,93.25,93.70,93.70,846600.00
2019-07-12 00:00:00,94.43,94.65,92.36,93.62,93.62,725300.00
2019-07-15 00:00:00,93.88,94.43,92.85,93.33,93.33,849100.00
2019-07-16 00:00:00,93.28,93.67,90.77,91.57,91.57,997700.00
2019-07-17 00:00:00,91.96,94.00,91.92,92.51,92.51,826700.00
2019-07-18 00:00:00,91.87,92.91,91.29,92.13,92.13,947100.00
2019-07-19 00:00:00,92.90,93.51,90.49,90.69,90.69,1048400.00
2019-07-22 00:00:00,91.21,93.58,91.21,92.72,92.72,1077600.00
2019-07-23 00:00:00,93.49,93.75,90.11,91.57,91.57,928500.00
2019-07-24 00:00:00,91.99,93.49,91.57,93.47,93.47,910400.00
2019-07-25 00:00:00,93.25,94.43,92.59,93.30,93.30,1439200.00
2019-07-26 00:00:00,93.64,94.83,93.55,93.74,93.74,1116600.00
2019-07-29 00:00:00,94.18,94.24,89.69,92.83,92.83,1979700.00
2019-07-30 00:00:00,91.70,93.53,91.09,93.12,93.12,2494000.00
2019-07-31 00:00:00,86.70,88.62,83.22,83.56,83.56,8675400.00
2019-08-01 00:00:00,83.82,86.27,82.34,82.68,82.68,4341400.00
