Date,Open,High,Low,Close,Adj Close,Volume
2019-06-13 00:00:00,,,,,,
2019-06-14 00:00:00,100.47,104.57,99.25,100.29,100.29,1889300.00
2019-06-17 00:00:00,101.00,102.45,97.00,98.11,98.11,2128500.00
2019-06-18 00:00:00,100.39,102.00,97.51,99.64,99.64,2272400.00
2019-06-19 00:00:00,100.49,104.44,98.63,102.39,102.39,2592700.00
2019-06-20 00:00:00,105.01,107.34,101.62,102.30,102.30,2460700.00
2019-06-21 00:00:00,101.42,101.53,97.82,100.47,100.47,2972500.00
2019-06-24 00:00:00,100.85,101.50,88.88,89.41,89.41,6011200.00
2019-06-25 00:00:00,89.43,91.50,84.63,85.03,85.03,3744500.00
2019-06-26 00:00:00,87.92,89.08,84.61,86.33,86.33,2680000.00
2019-06-27 00:00:00,89.70,92.33,87.80,90.27,90.27,3019500.00
2019-06-28 00:00:00,91.76,92.20,87.25,88.79,88.79,3228300.00
2019-07-01 00:00:00,85.13,87.79,83.10,86.86,86.86,5306600.00
2019-07-02 00:00:00,86.27,86.85,84.00,85.13,85.13,1866000.00
2019-07-03 00:00:00,85.45,90.60,84.51,90.45,90.45,2706100.00
2019-07-04 00:00:00,,,,,,
2019-07-05 00:00:00,90.14,91.97,88.00,91.88,91.88,2582700.00
2019-07-08 00:00:00,91.44,92.79,89.89,90.76,90.76,1793300.00
2019-07-09 00:00:00,90.27,91.27,89.10,90.93,90.93,1557400.00
2019-07-10 00:00:00,91.76,93.45,91.55,92.72,92.72,2059300.00
2019-07-11 00:00:00,92.90,93.20,90.45,91.40,91.40,1784600.00
2019-07-12 00:00:00,93.01,94.93,91.37,93.30,93.30,2689700.00
2019-07-15 00:00:00,94.00,100.65,93.78,99.80,99.80,3835600.00
2019-07-16 00:00:00,100.14,100.50,96.50,97.10,97.10,2120100.00
2019-07-17 00:00:00,97.62,101.99,97.54,99.73,99.73,2314100.00
2019-07-18 00:00:00,99.24,99.50,95.02,95.19,95.19,1948800.00
2019-07-19 00:00:00,97.15,97.79,92.88,93.38,93.38,1747700.00
2019-07-22 00:00:00,94.19,97.46,93.50,96.67,96.67,1483000.00
2019-07-23 00:00:00,97.50,98.15,93.52,97.39,97.39,2241700.00
2019-07-24 00:00:00,97.12,97.88,94.68,95.94,95.94,1283700.00
2019-07-25 00:00:00,95.84,99.60,95.75,97.11,97.11,1870300.00
2019-07-26 00:00:00,97.95,104.49,97.83,102.20,102.20,3040700.00
2019-07-29 00:00:00,102.60,103.00,92.10,96.47,96.47,4230300.00
2019-07-30 00:00:00,95.19,99.35,94.03,95.49,95.49,1635500.00
2019-07-31 00:00:00,96.43,97.50,93.50,95.51,95.51,1514700.00
2019-08-01 00:00:00,95.75,98.66,93.80,95.10,95.10,1530400.00
2019-08-02 00:00:00,94.92,96.00,92.57,93.66,93.66,1117100.00
2019-08-05 00:00:00,90.70,91.19,87.29,89.69,89.69,1774400.00
2019-08-06 00:00:00,91.50,92.29,88.10,90.43,90.43,1028700.00
2019-08-07 00:00:00,89.02,93.16,88.02,92.45,92.45,996100.00
2019-08-08 00:00:00,93.57,95.84,93.02,95.77,95.77,925600.00
2019-08-09 00:00:00,94.79,95.49,93.31,94.20,94.20,800500.00
2019-08-12 00:00:00,93.05,94.18,91.11,92.16,92.16,779300.00
2019-08-13 00:00:00,92.06,96.22,92.06,95.45,95.45,1167200.00
2019-08-14 00:00:00,93.20,94.52,89.89,92.65,92.65,1265700.00
2019-08-15 00:00:00,92.77,93.44,89.69,90.64,90.64,1079800.00
2019-08-16 00:00:00,92.12,95.00,92.08,92.53,92.53,1259300.00
2019-08-19 00:00:00,94.18,96.20,92.89,93.17,93.17,1226000.00
2019-08-20 00:00:00,93.00,93.57,91.14,91.41,91.41,746100.00
2019-08-21 00:00:00,92.86,94.18,92.35,93.01,93.01,760000.00
2019-08-22 00:00:00,93.48,95.50,91.57,93.88,93.88,883000.00
2019-08-23 00:00:00,93.14,94.13,90.41,91.63,91.63,1368400.00
2019-08-26 00:00:00,92.33,93.50,91.45,91.76,91.76,697400.00
2019-08-27 00:00:00,92.60,93.69,90.44,91.73,91.73,825800.00
2019-08-28 00:00:00,91.16,91.38,88.71,90.16,90.16,1148300.00
2019-08-29 00:00:00,91.50,92.68,90.70,90.87,90.87,851800.00
2019-08-30 00:00:00,91.82,92.42,89.02,91.67,91.67,1186100.00
2019-09-02 00:00:00,,,,,,
2019-09-03 00:00:00,91.50,94.24,90.75,92.46,92.46,1538900.00
2019-09-04 00:00:00,93.95,96.00,93.18,93.53,93.53,2400700.00
2019-09-05 00:00:00,94.24,94.38,88.51,92.69,92.69,4991800.00
2019-09-06 00:00:00,92.00,96.50,84.86,85.41,85.41,7289700.00
2019-09-09 00:00:00,85.75,85.94,77.20,78.65,78.65,6713800.00
2019-09-10 00:00:00,77.00,81.22,76.81,80.35,80.35,2813200.00
2019-09-11 00:00:00,80.00,81.86,78.50,80.71,80.71,2013600.00
2019-09-12 00:00:00,81.45,82.65,79.90,81.53,81.53,1955100.00
2019-09-13 00:00:00,81.57,82.48,78.27,78.85,78.85,1416800.00
2019-09-16 00:00:00,78.50,80.99,78.26,80.67,80.67,1630100.00
2019-09-17 00:00:00,81.49,84.82,79.53,84.64,84.64,2539900.00
2019-09-18 00:00:00,84.40,86.00,83.50,84.55,84.55,1835400.00
2019-09-19 00:00:00,85.20,85.35,83.25,84.62,84.62,1266600.00
2019-09-20 00:00:00,85.00,85.35,81.50,82.63,82.63,2050100.00
2019-09-23 00:00:00,82.29,83.60,81.80,82.62,82.62,677000.00
2019-09-24 00:00:00,82.43,82.93,79.46,80.02,80.02,2145400.00
2019-09-25 00:00:00,79.12,79.99,76.08,79.60,79.60,1924100.00
2019-09-26 00:00:00,79.25,80.62,78.61,79.75,79.75,920000.00
2019-09-27 00:00:00,79.69,79.82,75.09,76.04,76.04,2347400.00
2019-09-30 00:00:00,76.13,77.00,74.29,76.20,76.20,1356500.00
2019-10-01 00:00:00,76.43,77.49,75.21,75.81,75.81,1378100.00
2019-10-02 00:00:00,74.50,75.78,73.66,73.85,73.85,1388700.00
2019-10-03 00:00:00,73.90,78.49,73.39,76.83,76.83,2605800.00
2019-10-04 00:00:00,77.00,77.78,75.28,76.53,76.53,1799500.00
2019-10-07 00:00:00,76.99,77.43,75.00,76.99,76.99,1432200.00
2019-10-08 00:00:00,76.01,76.35,72.58,73.59,73.59,3156600.00
2019-10-09 00:00:00,74.22,75.06,72.75,72.86,72.86,1490100.00
2019-10-10 00:00:00,72.86,73.78,71.01,71.01,71.01,2282200.00
2019-10-11 00:00:00,71.37,72.89,70.90,71.35,71.35,2391800.00
2019-10-14 00:00:00,70.46,71.24,69.55,70.80,70.80,2218100.00
2019-10-15 00:00:00,68.76,71.27,68.38,71.11,71.11,10576600.00
2019-10-16 00:00:00,69.70,69.95,66.51,67.69,67.69,6061400.00
2019-10-17 00:00:00,67.09,68.00,66.76,67.03,67.03,3496800.00
2019-10-18 00:00:00,66.26,66.93,64.53,66.08,66.08,4819400.00
2019-10-21 00:00:00,65.29,66.50,64.16,65.77,65.77,3076500.00
2019-10-22 00:00:00,64.20,64.60,61.02,62.00,62.00,4584700.00
2019-10-23 00:00:00,61.33,63.74,60.97,62.06,62.06,3589200.00
2019-10-24 00:00:00,63.00,65.94,62.76,64.52,64.52,3433300.00
2019-10-25 00:00:00,64.33,64.99,62.79,63.45,63.45,1921900.00
2019-10-28 00:00:00,63.96,67.47,62.26,66.56,66.56,3509300.00
2019-10-29 00:00:00,65.77,67.11,64.80,65.49,65.49,1825300.00
2019-10-30 00:00:00,65.97,70.09,65.66,70.00,70.00,4670300.00
2019-10-31 00:00:00,69.52,70.08,66.60,69.89,69.89,3405300.00
2019-11-01 00:00:00,69.86,70.55,68.02,70.39,70.39,3561800.00
2019-11-04 00:00:00,70.81,70.85,69.01,70.12,70.12,1563100.00
2019-11-05 00:00:00,70.71,70.85,66.68,66.89,66.89,1805900.00
2019-11-06 00:00:00,66.95,67.13,65.36,66.83,66.83,1327400.00
2019-11-07 00:00:00,67.03,68.68,66.21,66.81,66.81,1128200.00
2019-11-08 00:00:00,66.54,70.00,66.52,69.85,69.85,1472400.00
2019-11-11 00:00:00,69.51,70.19,67.76,68.39,68.39,1037500.00
2019-11-12 00:00:00,68.50,70.05,67.56,68.00,68.00,1911000.00
2019-11-13 00:00:00,68.00,68.51,66.87,68.01,68.01,1987000.00
2019-11-14 00:00:00,67.77,68.15,66.71,67.74,67.74,932500.00
2019-11-15 00:00:00,68.13,71.10,67.91,70.01,70.01,2311800.00
2019-11-18 00:00:00,70.47,71.14,68.78,70.08,70.08,1676000.00
2019-11-19 00:00:00,70.19,70.33,68.19,69.64,69.64,1704700.00
2019-11-20 00:00:00,69.25,71.71,68.55,70.99,70.99,2780700.00
2019-11-21 00:00:00,71.50,71.95,69.58,69.92,69.92,1127000.00
2019-11-22 00:00:00,72.00,74.00,71.15,73.16,73.16,3051900.00
2019-11-25 00:00:00,73.80,75.06,72.86,74.55,74.55,1936400.00
2019-11-26 00:00:00,75.00,75.77,74.76,75.16,75.16,1836500.00
