source,ticker,company
S&P 500,A,Agilent Technologies
S&P 500,AAL,American Airlines Group
S&P 500,AAP,Advance Auto Parts
S&P 500,AAPL,Apple
S&P 500,ABBV,AbbVie
S&P 500,ABC,AmerisourceBergen
S&P 500,ABMD,Abiomed
S&P 500,ABT,Abbott Laboratories
S&P 500,ACN,Accenture
S&P 500,ADBE,Adobe
S&P 500,ADI,Analog Devices
S&P 500,ADM,Archer-Daniels Midland
S&P 500,ADP,Automatic Data Processing
S&P 500,ADSK,Autodesk
S&P 500,AEE,Ameren
S&P 500,AEP,American Electric Power
S&P 500,AES,AES
S&P 500,AFL,Aflac
S&P 500,AIG,American Intl Gr
S&P 500,AIZ,Assurant
S&P 500,AJG,Arthur J. Gallagher
S&P 500,AKAM,Akamai Technologies
S&P 500,ALB,Albemarle
S&P 500,ALGN,Align Tech
S&P 500,ALK,Alaska Air Gr
S&P 500,ALL,Allstate
S&P 500,ALLE,Allegion
S&P 500,ALXN,Alexion Pharmaceuticals
S&P 500,AMAT,Applied Materials
S&P 500,AMCR,Amcor
S&P 500,AMD,Advanced Micro Devices
S&P 500,AME,AMETEK
S&P 500,AMGN,Amgen
S&P 500,AMP,Ameriprise Financial
S&P 500,AMT,American Tower
S&P 500,AMZN,Amazon.com
S&P 500,ANET,Arista Networks
S&P 500,ANSS,Ansys
S&P 500,ANTM,Anthem
S&P 500,AON,Aon
S&P 500,AOS,A.O. Smith
S&P 500,APA,APA
S&P 500,APD,Air Products & Chemicals
S&P 500,APH,Amphenol
S&P 500,APTV,Aptiv
S&P 500,ARE,Alexandria Real Estate
S&P 500,ATO,Atmos Energy
S&P 500,ATVI,Activision Blizzard
S&P 500,AVB,AvalonBay Communities
S&P 500,AVGO,Broadcom
S&P 500,AVY,Avery Dennison
S&P 500,AWK,American Water Works Co
S&P 500,AXP,American Express
S&P 500,AZO,AutoZone
S&P 500,BA,Boeing
S&P 500,BAC,Bank of America
S&P 500,BAX,Baxter Intl
S&P 500,BBY,Best Buy Co
S&P 500,BDX,"Becton, Dickinson"
S&P 500,BEN,Franklin Resources
S&P 500,BF.B,Brown-Forman
S&P 500,BIIB,Biogen
S&P 500,BIO,Bio-Rad Laboratories
S&P 500,BK,Bank of New York Mellon
S&P 500,BKNG,Booking Holdings
S&P 500,BKR,Baker Hughes
S&P 500,BLK,BlackRock
S&P 500,BLL,Ball
S&P 500,BMY,Bristol-Myers Squibb
S&P 500,BR,Broadridge Financial Soln
S&P 500,BRK.B,Berkshire Hathaway
S&P 500,BSX,Boston Scientific
S&P 500,BWA,BorgWarner
S&P 500,BXP,Boston Properties
S&P 500,C,Citigroup
S&P 500,CAG,Conagra Brands
S&P 500,CAH,Cardinal Health
S&P 500,CARR,Carrier Global
S&P 500,CAT,Caterpillar
S&P 500,CB,Chubb
S&P 500,CBRE,CBRE Group
S&P 500,CCI,Crown Castle Intl
S&P 500,CCL,Carnival
S&P 500,CDNS,Cadence Design Systems
S&P 500,CDW,CDW
S&P 500,CE,Celanese
S&P 500,CERN,Cerner
S&P 500,CF,CF Industries Holdings
S&P 500,CFG,Citizens Financial Group
S&P 500,CHD,Church & Dwight Co
S&P 500,CHRW,C.H. Robinson Worldwide
S&P 500,CHTR,Charter Communications
S&P 500,CI,Cigna
S&P 500,CINF,Cincinnati Financial
S&P 500,CL,Colgate-Palmolive
S&P 500,CLX,Clorox
S&P 500,CMA,Comerica
S&P 500,CMCSA,Comcast
S&P 500,CME,CME Group
S&P 500,CMG,Chipotle Mexican Grill
S&P 500,CMI,Cummins
S&P 500,CMS,CMS Energy
S&P 500,CNC,Centene
S&P 500,CNP,CenterPoint Energy
S&P 500,COF,Capital One Financial
S&P 500,COG,Cabot Oil & Gas
S&P 500,COO,Cooper Companies
S&P 500,COP,ConocoPhillips
S&P 500,COST,Costco Wholesale
S&P 500,CPB,Campbell Soup
S&P 500,CPRT,Copart
S&P 500,CRL,Charles River
S&P 500,CRM,Salesforce.com
S&P 500,CSCO,Cisco Systems
S&P 500,CSX,CSX
S&P 500,CTAS,Cintas
S&P 500,CTLT,Catalent
S&P 500,CTSH,Cognizant Tech Solns
S&P 500,CTVA,Corteva
S&P 500,CTXS,Citrix Systems
S&P 500,CVS,CVS Health
S&P 500,CVX,Chevron
S&P 500,CZR,Caesars Entertainment
S&P 500,D,Dominion Energy
S&P 500,DAL,Delta Air Lines
S&P 500,DD,DuPont de Nemours
S&P 500,DE,Deere
S&P 500,DFS,Discover Financial
S&P 500,DG,Dollar General
S&P 500,DGX,Quest Diagnostics
S&P 500,DHI,D.R. Horton
S&P 500,DHR,Danaher
S&P 500,DIS,Walt Disney
S&P 500,DISCA,Discovery
S&P 500,DISCK,Discovery
S&P 500,DISH,DISH Network
S&P 500,DLR,Digital Realty Trust
S&P 500,DLTR,Dollar Tree
S&P 500,DOV,Dover
S&P 500,DOW,Dow
S&P 500,DPZ,Domino's Pizza
S&P 500,DRE,Duke Realty
S&P 500,DRI,Darden Restaurants
S&P 500,DTE,DTE Energy
S&P 500,DUK,Duke Energy
S&P 500,DVA,DaVita
S&P 500,DVN,Devon Energy
S&P 500,DXC,DXC Technology
S&P 500,DXCM,DexCom
S&P 500,EA,Electronic Arts
S&P 500,EBAY,eBay
S&P 500,ECL,Ecolab
S&P 500,ED,Consolidated Edison
S&P 500,EFX,Equifax
S&P 500,EIX,Edison
S&P 500,EL,Estee Lauder Cos
S&P 500,EMN,Eastman Chemical
S&P 500,EMR,Emerson Electric
S&P 500,ENPH,Enphase Energy
S&P 500,EOG,EOG Resources
S&P 500,EQIX,Equinix
S&P 500,EQR,Equity Residential
S&P 500,ES,Eversource Energy
S&P 500,ESS,Essex Property Trust
S&P 500,ETN,Eaton Corp
S&P 500,ETR,Entergy
S&P 500,ETSY,Etsy
S&P 500,EVRG,Evergy
S&P 500,EW,Edwards Lifesciences
S&P 500,EXC,Exelon
S&P 500,EXPD,Expeditors International
S&P 500,EXPE,Expedia Group
S&P 500,EXR,Extra Space Storage
S&P 500,F,Ford Motor
S&P 500,FANG,Diamondback Energy
S&P 500,FAST,Fastenal
S&P 500,FB,Facebook
S&P 500,FBHS,Fortune Brands Home
S&P 500,FCX,Freeport-McMoRan
S&P 500,FDX,FedEx
S&P 500,FE,FirstEnergy
S&P 500,FFIV,F5 Networks
S&P 500,FIS,Fidelity National Info
S&P 500,FISV,Fiserv
S&P 500,FITB,Fifth Third Bancorp
S&P 500,FLT,Fleetcor Technologies
S&P 500,FMC,FMC
S&P 500,FOX,Fox
S&P 500,FOXA,Fox
S&P 500,FRC,First Republic Bank
S&P 500,FRT,Federal Realty Investment
S&P 500,FTNT,Fortinet
S&P 500,FTV,Fortive
S&P 500,GD,General Dynamics
S&P 500,GE,General Electric
S&P 500,GILD,Gilead Sciences
S&P 500,GIS,General Mills
S&P 500,GL,Globe Life
S&P 500,GLW,Corning
S&P 500,GM,General Motors
S&P 500,GNRC,Generac Hldgs
S&P 500,GOOG,Alphabet
S&P 500,GOOGL,Alphabet
S&P 500,GPC,Genuine Parts
S&P 500,GPN,Global Payments
S&P 500,GPS,Gap
S&P 500,GRMN,Garmin
S&P 500,GS,Goldman Sachs Group
S&P 500,GWW,W.W. Grainger
S&P 500,HAL,Halliburton
S&P 500,HAS,Hasbro
S&P 500,HBAN,Huntington Bancshares
S&P 500,HBI,Hanesbrands
S&P 500,HCA,HCA Healthcare
S&P 500,HD,Home Depot
S&P 500,HES,Hess
S&P 500,HFC,HollyFrontier
S&P 500,HIG,Hartford Finl Servs Gr
S&P 500,HII,Huntington Ingalls Indus
S&P 500,HLT,Hilton Worldwide Holdings
S&P 500,HOLX,Hologic
S&P 500,HON,Honeywell International
S&P 500,HPE,Hewlett Packard
S&P 500,HPQ,HP
S&P 500,HRL,Hormel Foods
S&P 500,HSIC,Henry Schein
S&P 500,HST,Host Hotels & Resorts
S&P 500,HSY,Hershey
S&P 500,HUM,Humana
S&P 500,HWM,Howmet Aerospace
S&P 500,IBM,IBM
S&P 500,ICE,Intercontinental Exchange
S&P 500,IDXX,IDEXX Laboratories
S&P 500,IEX,IDEX
S&P 500,IFF,Intl Flavors & Fragrances
S&P 500,ILMN,Illumina
S&P 500,INCY,Incyte
S&P 500,INFO,IHS Markit
S&P 500,INTC,Intel
S&P 500,INTU,Intuit
S&P 500,IP,International Paper
S&P 500,IPG,Interpublic Gr of Cos
S&P 500,IPGP,IPG Photonics
S&P 500,IQV,IQVIA Holdings
S&P 500,IR,Ingersoll Rand
S&P 500,IRM,Iron Mountain
S&P 500,ISRG,Intuitive Surgical
S&P 500,IT,Gartner
S&P 500,ITW,Illinois Tool Works
S&P 500,IVZ,Invesco
S&P 500,J,Jacobs Engineering Group
S&P 500,JBHT,JB Hunt Transport Servs
S&P 500,JCI,Johnson Controls Intl
S&P 500,JKHY,Jack Henry & Associates
S&P 500,JNJ,Johnson & Johnson
S&P 500,JNPR,Juniper Networks
S&P 500,JPM,JPMorgan Chase
S&P 500,K,Kellogg
S&P 500,KEY,KeyCorp
S&P 500,KEYS,Keysight Technologies
S&P 500,KHC,Kraft Heinz
S&P 500,KIM,Kimco Realty
S&P 500,KLAC,KLA
S&P 500,KMB,Kimberly-Clark
S&P 500,KMI,Kinder Morgan
S&P 500,KMX,CarMax
S&P 500,KO,Coca-Cola
S&P 500,KR,Kroger
S&P 500,KSU,Kansas City Southern
S&P 500,L,Loews
S&P 500,LB,L Brands
S&P 500,LDOS,Leidos Holdings
S&P 500,LEG,Leggett & Platt
S&P 500,LEN,Lennar
S&P 500,LH,Laboratory Corp
S&P 500,LHX,L3Harris Technologies
S&P 500,LIN,Linde
S&P 500,LKQ,LKQ
S&P 500,LLY,Eli Lilly
S&P 500,LMT,Lockheed Martin
S&P 500,LNC,Lincoln National
S&P 500,LNT,Alliant Energy
S&P 500,LOW,Lowe's Companies
S&P 500,LRCX,Lam Research
S&P 500,LUMN,Lumen Technologies
S&P 500,LUV,Southwest Airlines
S&P 500,LVS,Las Vegas Sands
S&P 500,LW,Lamb Weston Hldgs
S&P 500,LYB,LyondellBasell Industries
S&P 500,LYV,Live Nation Entertainment
S&P 500,MA,Mastercard
S&P 500,MAA,Mid-America Apartment
S&P 500,MAR,Marriott Intl
S&P 500,MAS,Masco
S&P 500,MCD,McDonald's
S&P 500,MCHP,Microchip Technology
S&P 500,MCK,McKesson
S&P 500,MCO,Moody's
S&P 500,MDLZ,Mondelez International
S&P 500,MDT,Medtronic
S&P 500,MET,MetLife
S&P 500,MGM,MGM Resorts Intl
S&P 500,MHK,Mohawk Industries
S&P 500,MKC,McCormick & Co
S&P 500,MKTX,MarketAxess Holdings
S&P 500,MLM,Martin Marietta Materials
S&P 500,MMC,Marsh & McLennan
S&P 500,MMM,3M
S&P 500,MNST,Monster Beverage
S&P 500,MO,Altria Group
S&P 500,MOS,Mosaic
S&P 500,MPC,Marathon Petroleum
S&P 500,MPWR,Monolithic Power Systems
S&P 500,MRK,Merck & Co
S&P 500,MRO,Marathon Oil
S&P 500,MS,Morgan Stanley
S&P 500,MSCI,MSCI
S&P 500,MSFT,Microsoft
S&P 500,MSI,Motorola Solutions
S&P 500,MTB,M&T Bank
S&P 500,MTD,Mettler-Toledo Intl
S&P 500,MU,Micron Technology
S&P 500,MXIM,Maxim Integrated Products
S&P 500,NCLH,Norwegian Cruise Line
S&P 500,NDAQ,Nasdaq
S&P 500,NEE,NextEra Energy
S&P 500,NEM,Newmont
S&P 500,NFLX,Netflix
S&P 500,NI,NiSource
S&P 500,NKE,Nike
S&P 500,NLOK,NortonLifeLock
S&P 500,NLSN,Nielsen Holdings
S&P 500,NOC,Northrop Grumman
S&P 500,NOV,NOV
S&P 500,NOW,ServiceNow
S&P 500,NRG,NRG Energy
S&P 500,NSC,Norfolk Southern
S&P 500,NTAP,NetApp
S&P 500,NTRS,Northern Trust
S&P 500,NUE,Nucor
S&P 500,NVDA,NVIDIA
